No,Fe,Cr,Mn,Si,Co,Mo,Ni,C,N,B,P,S,Al,Ti,Nb,Ta,Pb,Cu,Pre-irr,Irr,Temp,Stre,Dis,Swell
526,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,2.06831,445.878,110.172,180000000000000.00,0.0485311
527,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,5.64155,440.661,278.647,1438140000000000.00,0.0459392
528,66.5941,16.5969,1.383,0.453288,0.0367293,1.65526,13.1027,0.0479966,0.0203578,0.00203254,0.01,0.0063339,0.00266439,0.00199829,0.00666098,0,0,0.0800171,0,5.44504,483.787,266.439,180000000000000.00,0.87424
529,65.1746,17.0495,1.63048,0.60621,0.050484,2.39165,12.8879,0.05,0.0022137,0.000922377,0.0150484,0.0142036,0.0014758,0.00110685,0.00368951,0,0,0.120484,0,7.90294,499.756,58.6631,180000000000000.00,7.66539
530,65.2922,16.4444,1.63306,0.488378,0.0167565,2.48838,13.4386,0.0527927,0.0115855,0.0018437,0.0133513,0.00851347,0.00567565,0.00774767,0.01,0.0055855,0.0055855,0.0755855,0,7.80176,545.739,10.4505,2606220000000000.00,0.451347
531,66.3281,16.7771,1.19232,0.425482,0.0726904,2.38914,12.6217,0.0481827,0.0326532,0.00116734,0.01,0.00660575,0.00157699,0.00118274,0.00394246,0,0,0.0881726,2.28369,8.02998,562.046,24.8375,797869000000000.00,3.9046
532,66.5973,16.6977,0.752531,0.453647,0.0579755,2.46419,12.7885,0.0473647,0.0276091,0.00176213,0.0105271,0.0070541,0.0018918,0.00141885,0.0047295,0,0,0.0858115,0,5.1843,424.688,60.0646,180000000000000.00,3.1873
533,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,624.149,0,755505000000000.00,1.63323
534,66.3748,16.8883,1.18076,0.415431,0.0963726,2.37178,12.4071,0.108739,0.0121784,0.00084108,0.0147255,0.00990783,0.00272548,0.00545095,0.00272548,0.00545095,0.00545095,0.0972745,2.7425,8.45635,637.716,0,1306290000000000.00,6.77034
535,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.18322,429,109.425,180000000000000.00,4.85207
536,66.8813,16.9618,0.973411,0.394698,0.113736,2.33783,12.1257,0.0471566,0.047703,0.000414849,0.01,0.0069478,0.000208816,0.000156612,0.000522039,0,0,0.0984339,3.57319,8.23954,610.029,10.5974,180000000000000.00,13.3021
537,65.2768,16.5087,1.66636,0.564943,0.0662435,2.49002,13.1439,0.0581269,0.028872,0.000218679,0.0206264,0.014001,0.0087513,0.0175026,0.0087513,0.0175026,0.0175026,0.0912487,0.440791,11.993,532.487,0,1772740000000000.00,1.00885
538,65.5056,16.5102,1.50993,0.48,0.012044,2.46467,13.3489,0.0494525,0.0112556,0.00234671,0.00989051,0.00621898,0.00356204,0.00267153,0.00890509,0,0,0.0743796,0.202558,4.88139,425.825,120.219,334382000000000.00,0.155037
539,65.1472,16.43,1.76968,0.50995,0.0598991,2.50995,13.2804,0.0599832,0.0259664,0.000153951,0.0219798,0.0149849,0.00998991,0.0199714,0.01,0.0199664,0.0199664,0.0899664,0,13.9842,518.849,0.341292,998621000000000.00,7.09859
540,65.2912,16.4443,1.63397,0.488522,0.0170435,2.48852,13.4375,0.0528406,0.0116812,0.00183246,0.0134087,0.00855653,0.00570435,0.00782899,0.01,0.00568117,0.00568117,0.0756812,0,9.92261,488.406,90.9246,180000000000000.00,9.43827
541,65.0822,17.3682,1.65732,0.673312,0.0773247,2.34468,12.5624,0.05,0.000200646,8.36E-05,0.0177325,0.0185653,0.000133764,0.000100323,0.000334411,0,0,0.147325,0,6.55465,501.923,13.3764,180000000000000.00,5.86234
542,65.8129,16.5802,1.40813,0.459168,0.0286443,2.44615,13.112,0.0377611,0.0062604,0.00213544,0.0097396,0.00652081,0.00295839,0.00221879,0.00739597,0,0,0.0778121,1.00516,8.78021,501.664,117.596,180000000000000.00,2.50274
543,64.7227,17.1227,1.73744,0.608812,0,2.27963,13.364,0.0285314,0.0374873,0.00142657,0.0150093,0.00743124,0.00113752,0.000853138,0.00284379,0,0,0.07,0,4.1921,442.597,38.3912,180000000000000.00,1.47168
544,65.5046,17.0037,0.999476,1.36418,0.0982425,2.39069,12.4283,0.0446413,0.0488695,0.000892395,0.01,0.00778623,0.000427545,0.000320659,0.00106886,0,0,0.0967934,0,4.10398,562.708,10.1542,180000000000000.00,0.535243
545,66.4088,16.0073,1.40405,0.45162,0.0312178,2.44311,13.0771,0.0488648,0.0190547,0.00215944,0.0097162,0.0062838,0.00286481,0.00214861,0.00716202,0,0,0.0785139,0,3.76563,440.636,96.6873,180000000000000.00,2.4653
546,65.7918,16.0463,1.40263,0.452477,0.0336395,2.43107,13.6651,0.0487767,0.0188442,0.00198012,0.00969419,0.00661163,0.00277675,0.00208256,0.00694186,0,0,0.0791744,0,3.70091,441.538,140.92,180000000000000.00,4.35356
547,64.5765,16.8095,3.01162,0.411828,0.0681723,2.36845,12.558,0.0462815,0.0369874,0.00169433,0.00938025,0.00661975,0.00152101,0.00114076,0.00380252,0,0,0.0885924,0,5.77647,570.935,36.124,180000000000000.00,0.0152626
548,65.4381,16.768,1.24666,0.987707,0.0564119,2.42872,12.8846,0.046923,0.0306161,0.0015769,0.01,0.00702567,0.00194866,0.00146149,0.00487165,0,0,0.0853851,1.81031,7.93335,548.387,30.6914,180000000000000.00,10.973
549,65.7019,16.637,1.50386,0.467286,0.0764285,2.44757,12.8857,0.0820142,0.0194286,0.000429285,0.0187143,0.0127,0.00671429,0.0134286,0.00671429,0.0134286,0.0134286,0.0932857,0,10.2642,627.8,0,1126720000000000.00,0.139214
550,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,10.2728,646.643,0,1399830000000000.00,6.28203
551,65.3123,16.4981,1.53469,0.584771,0.00778706,2.47504,13.4214,0.049646,0.00911482,0.00239381,0.01,0.00607079,0.00371683,0.00278763,0.00929209,0,0,0.0728317,0,7.47362,483.406,58.5401,180000000000000.00,3.69963
